id,order_id,product_id,quantity,price,created_at,updated_at
1,418,5572,59666,778921724,2023-06-25 09:24:23.989676,2025-01-27 07:22:55.776184
2,8626,1066,97465,155033500,2025-02-03 08:27:58.227312,2025-01-10 17:03:16.937487
3,9494,5397,87283,630440996,2024-10-15 06:52:48.359284,2025-01-17 13:10:46.277563
4,2670,7337,38089,13220361,2021-12-18 04:28:36.467111,2025-01-27 00:44:13.161893
5,5450,1604,13311,267115418,2020-03-13 03:02:56.060533,2025-01-14 11:55:14.509049
6,5855,2416,71181,749630109,2021-02-16 12:08:08.443467,2025-01-15 22:52:08.657814
7,5132,9087,64932,21049231,2022-12-06 18:49:45.239421,2025-01-10 10:06:07.778278
8,4029,3545,69089,704004449,2021-08-06 02:22:04.716324,2025-01-07 00:28:39.767263
9,3347,3815,86724,458870724,2021-05-12 04:52:21.259711,2025-01-09 06:59:59.885125
10,8760,1095,86606,485131021,2022-03-27 07:14:08.450617,2025-01-26 22:32:52.563692
11,3604,3981,18955,332692354,2020-07-19 11:44:03.097671,2025-01-27 02:03:21.989849
12,9408,229,83648,942164363,2021-09-20 16:50:08.748367,2025-01-20 10:10:31.683557
13,6239,3990,80923,127279896,2020-05-07 11:51:39.092189,2025-01-06 12:23:06.744866
14,1470,3240,47602,644553314,2022-02-27 17:38:12.216857,2025-01-06 19:51:27.175649
15,8826,9162,9631,797231702,2024-07-13 12:03:46.916493,2025-01-03 05:08:53.943995
16,6795,6825,56895,299970553,2023-07-29 11:27:43.896799,2025-02-03 17:13:36.239507
17,4400,7588,29381,143524226,2024-08-22 14:44:38.756022,2025-01-20 12:38:08.712728
18,3881,6520,70431,722775815,2020-05-23 03:49:07.874254,2025-01-11 10:14:34.168526
19,6205,1567,12445,401329325,2024-07-07 14:37:43.431488,2025-01-20 07:31:51.674341
20,7732,7695,10369,484164994,2023-02-18 16:31:35.480843,2025-01-11 03:16:16.337893
21,5533,477,85752,110389317,2020-05-20 15:17:55.074044,2025-01-12 08:52:35.577816
22,6617,8374,87097,97279299,2021-08-22 12:22:04.275665,2025-01-18 13:10:18.927673
23,524,7431,50097,130686814,2022-04-20 09:18:31.110640,2025-01-15 10:38:56.855527
24,7092,222,11850,301352843,2020-01-16 03:56:53.585031,2025-01-01 16:46:43.037708
25,612,7010,27252,321439352,2023-05-12 07:10:43.021150,2025-01-11 05:04:37.312538
26,6482,3668,62154,419898833,2021-05-23 23:26:24.336816,2025-01-22 18:00:46.122659
27,2522,4241,55635,176935787,2023-11-01 13:00:11.701149,2025-01-21 09:00:03.113577
28,8968,2972,55797,862531549,2021-06-20 02:26:53.116105,2025-01-12 02:19:13.440873
29,3625,7025,32342,668476466,2021-01-10 23:04:37.182882,2025-01-22 13:47:14.171619
30,2938,1582,50268,187913259,2024-06-09 05:21:31.167291,2025-01-18 21:32:15.792501
31,1268,9820,97212,514300532,2020-11-09 15:55:10.532344,2025-01-19 00:27:25.235972
32,2127,9736,98299,774864231,2024-02-27 11:44:06.824153,2025-01-08 18:43:56.418066
33,1214,1495,76885,228916182,2022-03-08 18:43:21.447389,2025-01-21 15:38:21.887330
34,2931,725,77518,141395148,2020-02-18 01:03:11.899419,2025-01-15 10:08:23.272225
35,2553,4396,88926,295367402,2023-09-29 12:55:16.654829,2025-01-29 03:20:41.325441
36,9771,6195,93560,35428803,2020-11-04 10:05:37.536518,2025-01-20 00:19:01.337470
37,8656,3422,63883,989177811,2024-10-12 12:43:00.197715,2025-01-21 04:26:29.881338
38,8336,3973,93023,296389808,2022-09-01 18:19:09.664535,2025-01-18 15:02:12.981026
39,3595,6236,28848,173491461,2023-04-20 06:28:27.845192,2025-01-13 19:19:33.062301
40,794,9894,27545,863254703,2021-10-26 18:17:24.549988,2025-01-08 14:30:56.215396
41,6192,2773,45594,30342063,2020-01-15 23:49:28.250790,2025-01-25 06:12:56.959802
42,5993,7303,75297,850587942,2020-02-28 08:44:44.306380,2025-02-02 15:52:26.590717
43,9985,1499,32154,504996409,2021-12-20 12:22:14.182681,2025-01-20 15:50:56.061270
44,3578,217,91657,858690136,2023-07-29 04:19:10.807320,2025-01-11 01:52:31.648860
45,9084,2971,65325,215553206,2023-06-21 20:03:43.588606,2025-01-27 05:58:06.710282
46,9288,4519,99250,980578874,2024-01-14 07:38:51.467543,2025-01-06 03:03:26.609938
47,6182,6275,70536,260796402,2020-04-29 16:08:59.007067,2025-01-06 13:01:37.217874
48,9527,6091,2546,27919577,2025-02-02 07:35:30.698635,2025-01-01 15:26:00.433587
49,111,7179,77176,201900113,2022-05-05 02:19:02.311583,2025-01-27 06:26:16.269611
50,7847,6010,12346,771776636,2023-05-09 12:51:41.213987,2025-01-28 13:35:56.284384
51,9591,9176,6726,825415560,2020-10-19 19:59:51.541597,2025-01-31 17:59:24.815692
52,4857,10142,18990,629037077,2024-11-03 18:02:56.298835,2025-01-28 07:04:28.153417
53,910,4042,57415,180239033,2021-05-28 18:41:27.756752,2025-01-30 13:41:18.250698
54,4949,359,71397,908128743,2022-09-15 15:21:21.410569,2025-01-24 19:58:11.574366
55,600,276,51801,257145344,2024-10-26 04:36:29.417864,2025-01-17 21:17:41.075572
56,6561,6639,23713,985826931,2020-07-05 19:44:56.326405,2025-01-05 21:43:58.840386
57,8220,7060,91964,400936929,2020-11-22 05:14:43.318507,2025-01-18 21:45:04.552814
58,390,7290,689,138155714,2023-03-31 15:06:00.130718,2025-01-18 08:08:54.108562
59,2343,6238,88968,314090571,2021-08-08 05:01:15.025745,2025-01-06 08:15:41.140507
60,3857,6473,96872,207091532,2023-02-03 22:37:25.396866,2025-01-04 09:52:37.099293
61,8634,4201,83269,536036006,2022-05-14 23:39:16.437450,2025-01-01 16:34:33.058613
62,5148,8758,99949,692886564,2020-03-24 15:00:22.258548,2025-01-22 07:43:47.629545
63,5964,6997,67299,496592924,2025-01-20 16:39:13.784198,2025-01-06 06:37:46.491542
64,7619,2622,47975,909157712,2022-01-03 02:16:31.507236,2025-01-29 16:04:29.345881
65,792,10434,79378,578657976,2024-05-06 18:36:36.604648,2025-01-23 06:21:58.323127
66,5824,2803,97458,987336953,2024-02-22 23:49:37.863357,2025-01-09 22:54:49.865116
67,4194,4249,14947,255921790,2021-06-01 02:01:39.134916,2025-01-25 09:50:15.718568
68,5834,10238,3819,617607998,2023-01-21 06:57:32.894585,2025-01-26 19:05:33.096743
69,7185,2474,63705,833764552,2024-04-19 18:01:18.622617,2025-01-29 13:14:04.571916
70,2521,10089,92051,798198203,2023-05-14 19:47:21.520986,2025-01-30 19:31:16.597374
